线路ID,轨迹点记录时间,经度,纬度,活动类型,地区,瞬时速度(m/s)
0,2022/9/18 11:00,114.2439142,30.5257917,步行,武汉汉阳区,4.8195267
1,2022/9/18 11:45,114.244026,30.5259064,步行,武汉汉阳区,4.2665834
2,2022/9/18 11:00,114.2441401,30.5260117,步行,武汉汉阳区,3.541619
3,2022/9/18 11:01,114.2442427,30.526099,步行,武汉汉阳区,1.2435496
4,2022/9/18 11:02,114.2442792,30.5261171,步行,武汉汉阳区,0
5,2022/9/18 11:03,114.2443348,30.5261635,步行,武汉汉阳区,0.8189185
6,2022/9/18 11:03,114.2444079,30.5262298,步行,武汉汉阳区,0.7573566
7,2022/9/18 11:04,114.2444813,30.5262972,步行,武汉汉阳区,0.56039506
8,2022/9/18 11:04,114.2444985,30.5263932,步行,武汉汉阳区,1.5632689
9,2022/9/18 11:05,114.2444585,30.5264862,步行,武汉汉阳区,0.86120987
10,2022/9/18 11:05,114.2445037,30.5265623,步行,武汉汉阳区,1.042628
11,2022/9/18 11:05,114.2444533,30.5266358,步行,武汉汉阳区,0.63390434
12,2022/9/18 11:05,114.2443478,30.5266825,步行,武汉汉阳区,1.0159097
13,2022/9/18 11:10,114.2442915,30.5267652,步行,武汉汉阳区,0.7670929
14,2022/9/18 11:10,114.2441914,30.5268554,步行,武汉汉阳区,0.65481454
15,2022/9/18 11:11,114.2441531,30.5269492,步行,武汉汉阳区,0.17320353
16,2022/9/18 11:11,114.2442174,30.5269179,步行,武汉汉阳区,0.7374537
17,2022/9/18 11:11,114.244261,30.526818,步行,武汉汉阳区,0.805123
18,2022/9/18 11:12,114.2443135,30.52671,步行,武汉汉阳区,1.0339954
19,2022/9/18 11:12,114.2444166,30.5266703,步行,武汉汉阳区,0.5727876
20,2022/9/18 11:12,114.2445203,30.5266202,步行,武汉汉阳区,0.81674236
21,2022/9/18 11:12,114.2445021,30.526526,步行,武汉汉阳区,0.6691472
22,2022/9/18 11:12,114.2444605,30.5264319,步行,武汉汉阳区,0.8151614
23,2022/9/18 11:13,114.2444699,30.5263374,步行,武汉汉阳区,0.6480671
24,2022/9/18 11:14,114.2444228,30.5262466,步行,武汉汉阳区,0.84595346
25,2022/9/18 11:14,114.2443567,30.5261517,步行,武汉汉阳区,0.88390607
26,2022/9/18 11:16,114.2442791,30.5260635,步行,武汉汉阳区,0.7760498
27,2022/9/18 11:19,114.2441759,30.5260555,步行,武汉汉阳区,4.5834827
28,2022/9/18 11:20,114.2438805,30.5257306,步行,武汉汉阳区,6.610043
29,2022/9/18 11:20,114.2436987,30.525539,步行,武汉汉阳区,7.7941403
30,2022/9/18 11:20,114.2435707,30.5254057,步行,武汉汉阳区,7.1777534
31,2022/9/18 11:20,114.2434702,30.5253016,步行,武汉汉阳区,7.3533463
