线路ID,运动记录时间,活动类型,地区,总里程(km),运动耗时,最高海拔(m),上传者
1,2022-09-18 11:00:16,步行,武汉市汉阳区,8.67045606616277,0.75,24.161633079141502,
2,2023-03-26 14:27:17,步行,武汉市汉阳区,1.8751442108265404,0.92,46.370100915493374,zs_2738497
3,2023-03-31 16:42:21,步行,武汉市汉阳区,1.3155169905507649,0.89,32.29089403193554,
4,2023-04-21 09:29:31,步行,武汉市汉阳区,1.36975645551269,0.74,28.93991358638931,阿尔
5,2023-04-21 10:51:44,步行,武汉市汉阳区,0.9133558203334633,0.53,30.43902247528711,阿尔
6,2023-04-24 15:12:11,步行,武汉市汉阳区,4.770375767483599,1.13,23.03265380859375,zs0_7136432
7,2023-04-26 14:09:12,步行,武汉市汉阳区,3.3673604257671843,1.05,34.77043293569469,MusesXieT
8,2023-04-30 15:33:57,步行,武汉市汉阳区,5.571586493913052,1.82,23.98634817902373,
9,2023-05-05 11:05:20,步行,武汉市汉阳区,5.901437626327362,1.5,76.60265580163563,ᰔᩚ悟এ᭄²⁰²³
10,2023-05-11 15:06:53,步行,武汉市汉阳区,2.7060588125860856,0.96,46.509498664744484,
11,2023-05-17 19:10:24,步行,武汉市汉阳区,7.871475707054195,1.83,76.38026242319003,清秋。。
12,2023-05-18 19:03:52,步行,武汉市汉阳区,10.482313514929741,2.35,31.561138237437888,西西
13,2023-05-29 10:12:08,步行,武汉市汉阳区,4.646519855226982,2.25,37.007446195232546,24k
14,30.541368,未知类型,武汉市汉阳区,0,0,0,30.534115
15,2023-06-16 13:25:58,步行,武汉市汉阳区,4.803650353763835,2.89,85.89825872917064,BoNe5
16,2023-06-21 20:48:53,步行,武汉市汉阳区,1.1471410218743345,0.24,21.270039674214356,zs0_2139739
17,2023-06-24 09:49:07,步行,武汉市汉阳区,3.1247022373692985,3.29,30.339536190740024,猫猫枚
18,2023-06-26 10:02:40,步行,武汉市汉阳区,5.047479231432772,3.37,41.097117664407776,猫猫枚
19,2023-06-26 18:53:37,步行,武汉市汉阳区,10.789393166012692,3.15,83.92979799528952,liu zhen
20,2023-06-27 08:43:52,步行,武汉市汉阳区,4.094726647874967,1.78,61.37994883116335,
21,2023-06-27 08:43:52,步行,武汉市汉阳区,4.094726647874967,1.78,61.37994883116335,
22,2023-07-08 10:04:23,步行,武汉市汉阳区,1.3338709492847955,0.15,13.030883243269555,邦文
23,2023-07-11 09:26:48,步行,武汉市汉阳区,2.6749956681708227,1.55,84.7325659572459,蓝色回旋曲
24,2023-07-12 21:07:47,步行,武汉市汉阳区,2.214553693202718,0.63,71.71043693131737,小树向前冲冲冲
25,2023-08-02 09:30:58,步行,武汉市汉阳区,0.6694931899541579,0.17,16.74202384549197,zs_2708710
