type,s,x,y,z,yaw,slope,curvature,segment_id,lon,lat
origin,,,,,,,,,113.9532,22.53
point,0.000,0.000,0.000,120.000,0.57635717,0.28507758,0.00000000,0,113.953200000,22.530000000
point,1.000,0.806,0.524,120.274,0.57635717,0.28507758,0.00000000,1,113.953207842,22.530004708
point,2.000,1.613,1.048,120.548,0.57635717,0.28507758,0.00000000,2,113.953215684,22.530009416
point,3.000,2.419,1.572,120.822,0.57635717,0.28507758,0.00000000,3,113.953223526,22.530014124
point,4.000,3.225,2.096,121.097,0.57635717,0.28507758,0.00000000,4,113.953231368,22.530018832
point,5.000,4.032,2.620,121.371,0.57635717,0.28507758,0.00000000,5,113.953239209,22.530023540
point,6.000,4.838,3.145,121.645,0.57635717,0.28507758,0.00000000,6,113.953247051,22.530028248
point,7.000,5.644,3.669,121.919,0.57635717,0.28507758,0.00000000,7,113.953254893,22.530032956
point,8.000,6.451,4.193,122.193,0.57635717,0.28507758,0.00000000,8,113.953262735,22.530037664
point,9.000,7.257,4.717,122.467,0.57635717,0.28507758,0.00000000,9,113.953270577,22.530042372
point,10.000,8.063,5.241,122.742,0.57635717,0.28507758,0.00000000,10,113.953278419,22.530047080
point,11.000,8.870,5.765,123.016,0.57635717,0.28507758,0.00000000,11,113.953286261,22.530051788
point,12.000,9.676,6.289,123.290,0.57635717,0.28507758,0.00000000,12,113.953294103,22.530056496
point,13.000,10.482,6.813,123.564,0.57635717,0.28507758,0.00000000,13,113.953301944,22.530061204
point,14.000,11.289,7.337,123.838,0.57635717,0.28507758,0.00000000,14,113.953309786,22.530065912
point,15.000,12.095,7.861,124.112,0.57635717,0.28507758,0.00000000,15,113.953317628,22.530070620
point,16.000,12.901,8.385,124.386,0.57635717,0.28507758,0.00000000,16,113.953325470,22.530075328
point,17.000,13.708,8.910,124.661,0.57635717,0.28507758,0.00000000,17,113.953333312,22.530080036
point,18.000,14.514,9.434,124.935,0.57635717,0.28507758,0.00000000,18,113.953341154,22.530084744
point,19.000,15.320,9.958,125.209,0.57635717,0.28507758,0.00000000,19,113.953348996,22.530089452
point,20.000,16.127,10.482,125.483,0.57635717,0.28507758,0.00000000,20,113.953356838,22.530094160
